,Unnamed: 0,NO,Title.of.Program,LOCATION,Executing.Firm,CONSULTANT,Start.Date,Anticipated.Completion.Date,Contract.Sum,Funding.Sources,Status.of.Project
706,706,707  ,Gravelling works on Korle Bu Street –Sabon Zongo (chainage 0+060-0+225) and (Chainage 0+262-0+280) Ablekuma Central  ,Sabon Zongo,Messrs Salleydeen Company Limited,Metro Roads Department,"Monday, September 14, 2026","Friday, February 15, 2013","49,945.80",Road Fund,Completed
707,707,708  ,Gravelling works on Lake Road and Link  2 (Chainage 0+000-0+320) Ayawaso West  Wuogon Contract No: AMRD/PM/PQ/ Vol.7/ 2014/214,East Legon,M/S Unicorn Universal Company Limited,Metro Roads Department,"Friday, December 14, 2018","Saturday, August 15, 2009","49,347.28",Road Fund,Completed
708,708,709  ,Surfacing works on Lake Road (Chainage 0+160-0+240) Ayawaso West  Wuogon Contract No: AMRD/PM/PQ/ Vol.7/ 2014/186,East Legon,M/S Unicorn Universal Company Limited,Metro Roads Department,"Friday, December 14, 2018","Saturday, August 15, 2009","49,815.00",Road Fund,Completed
709,709,710  ,Surfacing works on Lake Road (Chainage 0+240-0+320) Ayawaso West  Wuogon Contract No: AMRD/PM/PQ/ Vol.7/ 2014/187,East Legon,M/S Unicorn Universal Company Limited,Metro Roads Department,"Friday, December 14, 2018","Saturday, August 15, 2009","49,815.00",Road Fund,Completed
710,710,711  ,Gravelling works on Lake Road and Link  2 (Chainage 0+000-0+080) Adjiriganor Contract No: AMRD/PM/PQ/ Vol.7/ 2014/184,East Legon,M/S Unicorn Universal Company Limited,Metro Roads Department,"Friday, December 14, 2018","Saturday, August 15, 2009","49,815.00",Road Fund,Completed
711,711,712  ,Gravelling works on Lake Road (Chainage 0+000-0+060) Adjiriganor Contract No: AMRD/PM/PQ/ Vol.7/ 2014/184,East Legon,M/S Unicorn Universal Company Limited,Metro Roads Department,"Friday, December 14, 2018","Saturday, August 15, 2009","48,771.20",Road Fund,Completed
712,712,713  ,Surfacing works on Lake Road (Chainage 0+080-0+160) Adjiriganor Contract No: AMRD/PM/PQ/ Vol.7/ 2014/185,East Legon,M/S Unicorn Universal Company Limited,Metro Roads Department,"Friday, December 14, 2018","Saturday, August 15, 2009","49,815.00",Road Fund,Completed
719,719,720  ,"Surfacing of K. Asante  Avenue , West Legon (Chainage 0+140-0+280) – Ayawaso west",West Legon,Messrs Syndicated Capital Finance Engineering,Metro Roads Department,"Thursday, July 14, 2016","Friday, January 15, 2027","49,932.50",Road Fund,Completed
722,722,723  ,Gravelling Works on Nsakinaa Link (Chainage 0+000-0+280),Dansoman,Messrs Jotie Enterprise,Metro Roads Department,-,-,"49,767.00",Road Fund,Completed
723,723,724  ,Paving Works at Latebiokorshie Phase 2 (Chainage 0+105-0+210)- Ablekuma Central,Latebiokorshie,Messrs Le-Lac Investment LTD,Metro Roads Department,-,-,"49,866.00",Road Fund,Completed
724,724,725  ,Paving Works at Latebiokorshie Phase 1 (Chainage 0+000-0+105)- Ablekuma Central,Latebiokorshie,Messrs Galoni Ventures,Metro Roads Department,"Monday, September 14, 2026","Wednesday, December 14, 2005","49,586.00",Road Fund,Completed
726,726,727  ,Surfacing works on Gbawe Road ( Chainage 0+390-0+520) – Ablekuma Central,Flamingo Area,Messrs Syndicated Capital Finance Engineering,Metro Roads Department,"Thursday, July 14, 2016","Tuesday, December 14, 2004","49,239.82",Road Fund,Completed
727,727,728  ,Surfacing works on Gbawe Road ( Chainage 0+000-0+130) – Ablekuma Central,Flamingo Area,Messrs Intra Grid System/ Syndicated Capital Finance Engineering,Metro Roads Department,"Thursday, July 14, 2016","Tuesday, December 14, 2004","49,239.82",Road Fund,Completed
728,728,729  ,Surfacing works on Gbawe Road ( Chainage 0+650-0+780) – Ablekuma Central,Flamingo Area,Messrs Intra Grid System/ Syndicated Capital Finance Engineering,Metro Roads Department,"Thursday, July 14, 2016","Tuesday, December 14, 2004","49,239.82",Road Fund,Completed
729,729,730  ,Surfacing works on Gbawe Road ( Chainage 0+130-0+260) – Ablekuma Central,Flamingo Area,Messrs Intra Grid System/ Syndicated Capital Finance Engineering,Metro Roads Department,"Thursday, July 14, 2016","Tuesday, December 14, 2004","49,239.82",Road Fund,Completed
735,735,736  ,Relocated to Police Depot Training School Road 1 Tesano (Chainage 039.8-0+1500 and Branch Road A2 at CH0+275 RHS,Tesano Police Depot,Messrs Salleydeen Company Limited,Metro Roads Department,"Friday, December 14, 2018","Friday, September 14, 2029","49,343.13",Road Fund,Completed
738,738,739  ,"Surfacing of K. Asante  Avenue, West Legon (Chainage 0+280-0+420) – Ayawaso west",West Legon,Messrs Syndicated Capital Finance Engineering,Metro Roads Department,"Thursday, July 14, 2016","Friday, January 15, 2027","49,932.50",Road Fund,Completed
739,739,740  ,"Surfacing of K. Asante  Avenue, West Legon (Chainage 0+420-0+560) – Ayawaso west",West Legon,Messrs Syndicated Capital Finance Engineering,Metro Roads Department,"Thursday, July 14, 2016",27/1/2015,"49,932.50",Road Fund,Completed
740,740,741  ,"Surfacing of K. Asante  Avenue, West Legon (Chainage 0+560-0+680) – Ayawaso west",West Legon,Messrs Syndicated Capital Finance Engineering,Metro Roads Department,"Thursday, July 14, 2016",27/4/2015,"49,723.04",Road Fund,Completed
761,761,762  ,"Surfacing of K. Asante  Avenue, West Legon (Chainage 0+000-00+140) – Ayawaso west Contract No. AMRD/PM/PQ/VOL.5/2014/083",West Legon,Messrs Syndicated Capital Engineering,Metro Roads Department,"Thursday, July 14, 2016","Friday, January 15, 2027","49,932.50",Road Fund,Completed
768,768,769  ,Surfacing Works on Aduemi Road (Chainage 0+000-0+130)-Okaikoi North Relocated to: 22nd Street Chantan-Okaikoi North,Nii Bioman,Messrs Yodoku Limited,Metro Roads Department,"Friday, December 14, 2018","Saturday, July 15, 2023","49,810.96",Road Fund,Completed
769,769,770  ,Surfacing Works on Aduemi Road (Chainage 0+130-0+260)-Okaikoi North Relocated to: 22nd Street Chantan,Nii Bioman,Messrs Yodoku Limited,Metro Roads Department,"Friday, December 14, 2018","Saturday, July 15, 2023","49,810.96",Road Fund,Completed
770,770,771  ,Surfacing Works on Aduemi Road (Chainage 0+260-0+390)-Okaikoi North Relocated to: 22nd Street Chantan,Nii Bioman,Messrs Yodoku Limited,Metro Roads Department,"Friday, December 14, 2018","Friday, December 14, 2018","49,810.96",Road Fund,Completed
772,772,773  ,Gravelling Works Along Mampong Okai Street (Chainage 0+350-0+700) Ablekuma South,Dansoman,Messrs Mbanba Construction,Metro Roads Department,-,-,"49,081.40",Road Fund,Completed
774,774,775  ,Gravelling Works Along Mampong Okai Street (Chainage 0+000-0+350),Dansoman,Messrs Mbanba Construction,Metro Roads Department,"Sunday, March 14, 2027","Monday, August 14, 2006","49,081.40",Road Fund,Completed
776,776,777  ,Surfacing works on Gbawe Road ( Chainage 0+260-0+390) – Ablekuma Central,Flamingo Area,Messrs Intra Grid System/ Syndicated Capital Finance,Metro Roads Department,"Thursday, July 14, 2016","Tuesday, December 14, 2004","49,239.82",Road Fund,Completed
777,777,778  ,Gravelling works on Nsakinaa Link (Chainage 0+020-0+190)- Ablekuma South,Dansoman,Messrs Euodyjoy Enterprise,Metro Roads Department,"Tuesday, May 13, 2014","Sunday, April 14, 2002","49,342.00",Road Fund,Completed
778,778,779  ,Gravelling works along Gbegbe Crescent Mamprobi (Chainage 0+000-0+350) Ablekuma South,Ablekuma South,Messrs Mahami Company Limited,Metro Roads Department,-,-,"49,543.00",Road Fund,Completed
