NO,Title.of.Program,LOCATION,Executing.Firm,CONSULTANT,Start.Date,Anticipated.Completion.Date,Contract.Sum,Funding.Sources,Status.of.Project,,,,,,,,,,,,,,,,
415.   ,"Gravelling Works on Ablalashie Crescent, Mempeasem (Ch. 0+000-0+200)",Ayawaso West,Messrs Kumfaman Co. Ltd/Syndicated Capital Finance,Metro Roads Department,"Thursday, October 14, 2021",5 Months,"31,160.00",IGF,Completed,,,,,,,,,,,,,,,,
416.   ,Surfacing Works along Duade Street (Ch. 0+140-0+280),Accra Newtown,Messrs Reggio Company Ltd,Metro Roads Department,"Thursday, October 14, 2021",5 Months,"37,879.70",IGF,Completed,,,,,,,,,,,,,,,,
417.   ,Surfacing Works along Suhum  Street (Ch. 0+000-0+160),Accra Newtown,Messrs Reggio Company Ltd,Metro Roads Department,"Thursday, October 14, 2021",5 Months,"43,904.50",IGF,Completed,,,,,,,,,,,,,,,,
418.   ,Surfacing of Kay Billie Klaer Street (Chainage 0+450-0+575) Ayawaso West Wuogon,Ayawaso West,Messrs Reggio Company Ltd,Metro Roads Department,"Thursday, October 14, 2021",5 Months,"49,641.25",IGF,Completed,,,,,,,,,,,,,,,,
419.   ,Surfacing of Kay Billie Klaer Street (Chainage 0+350-0+450) Ayawaso West Wuogon,Ayawaso West,Messrs Reggio Company Ltd,Metro Roads Department,"Thursday, October 14, 2021",5 Months,"48,367.72",IGF,Completed,,,,,,,,,,,,,,,,
420.   ,Surfacing Works Along Ablashie Link 2 Road-East Legon-Ayawaso West Wuogon,Mempeasem,Messrs Reggio Company Ltd,Metro Roads Department,"Thursday, October 14, 2021",5 Months,"49,220.90",IGF,Completed,,,,,,,,,,,,,,,,
421.   ,Gravelling Works Along 4th Street-Ablekuma North(CH 0+000-0+450),Darkuman,Messrs Reggio Company Ltd,Metro Roads Department,"Thursday, October 14, 2021",5 Months,"49,611.00",IGF,Completed,,,,,,,,,,,,,,,,
422.   ,Surfacing Works Along 7th Obour Street(CH. 0+000-0+160),Mambrouk,Messrs Reggio Company Ltd,Metro Roads Department,"Thursday, October 14, 2021",5 Months,"48,068.10",Road Fund,Completed,,,,,,,,,,,,,,,,
423.   ,Surfacing Works Along 7th Obour Street(CH. 0+320-0+480),Mambrouk,Messrs Reggio Company Ltd,Metro Roads Department,"Thursday, October 14, 2021",10 Months,"48,064.10",Road Fund,Completed,,,,,,,,,,,,,,,,
424.   ,Surfacing Works Along 7th Obour Street(CH. 0+160-0+320),Mambrouk,Messrs Reggio Company Ltd,Metro Roads Department,"Thursday, October 14, 2021",10 Months,"48,064.10",Road Fund,Completed,,,,,,,,,,,,,,,,
425.   ,Road-line Marking & Signs on Selected Roads in Accra Phase II,Selected Roads in Accra,Messrs Reggio Company Ltd,Metro Roads Department,"Thursday, October 14, 2021",10 Months,"48,915.30",Road Fund,Completed,,,,,,,,,,,,,,,,
426.   ,Gravelling of Trakor Street (CH.0+000-0+400) Relocated to Ebenezer Crescent(CH.+000-0+250) and Kokrobite Street(CH.0+000-0+200),Mamprobi,Messrs Reggio Company Ltd,Metro Roads Department,"Thursday, October 14, 2021",5 Months,"48,033.50",Road Fund,Completed,,,,,,,,,,,,,,,,
427.   ,"Routine Maintenance Along Abossey Okai:800M X 0.90M X 0.7M,800M X 0.6M X0.6M (RHS) For The Month of August",Abossey Okai,Messrs Reggio Company Ltd,Metro Roads Department,"Thursday, October 14, 2021",5 Months,"6,817.00",Road Fund,Completed,,,,,,,,,,,,,,,,
428.   ,Gravelling Works at The Frontage of Abeka Mantse Palace,Abeka,Messrs Reggio Company Ltd,Metro Roads Department,"Thursday, October 14, 2021",5 Months,10.236.60,Road Fund,Completed,,,,,,,,,,,,,,,,
429.   ,Gravelling Works on Gbene Street (CH.0+500-1+000),Kotobabi,Messrs Reggio Company Ltd,Metro Roads Department,"Thursday, October 14, 2021",5 Months,"45,031.00",Road Fund,Completed,,,,,,,,,,,,,,,,
430.   ,Gravelling Works on Teinashie Street and 2ND Nii Amoah Road(420M),Ayawaso West,Messrs Reggio Company Ltd,Metro Roads Department,"Thursday, October 14, 2021",5 Months,"49,950.80",Road Fund,Completed,,,,,,,,,,,,,,,,
431.   ,Surfacing of Kay Billie Klaer Street (Chainage 0+575-0+700)- Ayawaso West Wuogon,Ayawaso West,Messrs Reggio Company Ltd,Metro Roads Department,"Thursday, October 14, 2021",10 Months,"49,641.25",Road Fund,Completed,,,,,,,,,,,,,,,,
432.   ,Gravelling of Suya Street (350M)-East Legon,Ayawaso West,Messrs Reggio Company Ltd,Metro Roads Department,"Thursday, October 14, 2021",10 Months,"48,957.50",Road Fund,Completed,,,,,,,,,,,,,,,,
433.   ,Surfacing works along Bonsu road- Accra Newtown (Chainage 0+300-0+430),Alajo,Messrs Kuumfaman Co. Ltd/Syndicated Capital Finance,Metro Roads Department,"Monday, November 14, 2005",4 Months,"48,599.20",Road Fund,Completed,,,,,,,,,,,,,,,,
434.   ,"Gravelling works on outer ring road extension, Mamprobi-Ablekuma South(Chainage 0+000-0+250)",Mamprobi,Messrs Kuumfaman Co. Ltd/Syndicated Capital Finance,Metro Roads Department,"Monday, November 14, 2005",4 Months,"48,825.00",Road Fund,Completed,,,,,,,,,,,,,,,,
435.   ,"Gravelling works on outer ring road extension, Mamprobi-Ablekuma South(Chainage 0+250-0+510)",Mamprobi,Messrs Kuumfaman Co. Ltd/Syndicated Capital Finance,Metro Roads Department,"Monday, November 14, 2005",4 Months,"41,909.00",Road Fund,Completed,,,,,,,,,,,,,,,,
436.   ,"Routine maintenance works on Cleland street, high street & 28th February road for the month of November",Accra,Messrs Salleydeen Co. Ltd,Metro Roads Department,"Friday, February 14, 2020",6 Months,"4,880.00",Road Fund,Completed,,,,,,,,,,,,,,,,
437.   ,Surfacing of Trackor Street (Chainage 0+650-0+780) and link Okaikoi North,Okaikoi North,Messrs Salleydeen Co. Ltd,Metro Roads Department,"Thursday, October 14, 2021",5 Months,"49,999.37",Road Fund,Completed,,,,,,,,,,,,,,,,
438.   ,Surfacing of Trackor Street (Chainage 1+100-1+196) and link Okaikoi North,Okaikoi North,Messrs Navacon Co. Ltd,Metro Roads Department,"Friday, October 14, 2016",9 Months,"49,584.12",Road Fund,Completed,,,,,,,,,,,,,,,,
439.   ,Surfacing works along 2nd avenue Ablekuma north (0+000-0+190) Relocation: Trackor Street-Okaikoi north,Okaikoi North,Messrs Navacon Co. Ltd,Metro Roads Department,"Sunday, September 14, 1930",8 Months,"49,951.60",Road Fund,Completed,,,,,,,,,,,,,,,,
440.   ,Surfacing of Trackor Street (Chainage 0+975-1+100) and link Okaikoi North,Okaikoi North,Messrs Rozzare. Ltd,Metro Roads Department,"Friday, November 14, 2003",10 Months,"49,534.12",Road Fund,Completed,,,,,,,,,,,,,,,,
441.   ,Surfacing works along 2nd avenue Ablekuma north (0+190-0+370) Relocation: Trackor Street-Okaikoi north,Okaikoi North,Messrs Rozzare. Ltd,Metro Roads Department,"Wednesday, October 14, 1931",3 Months,"47,660.75",Road Fund,Completed,,,,,,,,,,,,,,,,
442.   ,Surfacing works along 1st avenue Ablekuma north (0+000-0+200) Relocation: Trackor Street-Okaikoi north,Okaikoi North,Messrs Mustek Engineering Limited,Metro Roads Department,"Monday, December 13, 2010",3 Months,"49,989.50",Road Fund,Completed,,,,,,,,,,,,,,,,
443.   ,Surfacing of Trackor Street (Chainage 0+390-0+520) and link Okaikoi North,Okaikoi North,Messrs Mustek Engineering Limited,Metro Roads Department,"Monday, December 13, 2010",3 Months,"49,999.37",Road Fund,Completed,,,,,,,,,,,,,,,,
444.   ,Surfacing of Trackor Street (Chainage 0+520-0+650) and link Okaikoi North,Okaikoi North,Messrs Mustek Engineering Limited,Metro Roads Department,"Monday, July 14, 1930",3 Months,"49,999.37",Road Fund,Completed,,,,,,,,,,,,,,,,
445.   ,"Routine maintenance,Abossey Okai road:800M X 0.9M X 0.7M , 800M X 0.6M X 0.6M for the month of March(RHS)",Accra,Messrs Dantoz Ent.,Metro Roads Department,"Monday, July 14, 1930",3 Months,"6,817.00",Road Fund,Completed,,,,,,,,,,,,,,,,
446.   ,"Routine maintenance, Abossey Okai road:800M X 0.9M X 0.7M , 800M X 0.6M X 0.6M (RHS) for the month of October, 2014",Accra,Messrs Dantoz Ent.,Metro Roads Department,-,-,"6,817.00",Road Fund,Completed,,,,,,,,,,,,,,,,
447.   ,"Routine Maintenance Along Abossey Okai Road:800M X 0.9M X 0.7M,800M X 0.6M(RHS) For The Month of September",Abossey Okai,M/S Dantoz Ent,Metro Roads Department,-,-,"6,817.00",Road Fund,Completed,,,,,,,,,,,,,,,,
448.   ,Routine Maintenance on Green Areas at the Kwame Nkrumah Circle,Circle,Messrs Selsen Services,Metro Roads Department,-,-,"10,500.00",Road Fund,Completed,,,,,,,,,,,,,,,,
449.   ,"Routine Maintenance along Abossey Okai Road: 800M X 0.9M X 0.7M , 800M X 0.6M X 0.6M (RHS)",Accra,Messrs Dantoz Ent.,Metro Roads Department,-,1 Month,"6,817.00",Road Fund,Completed,,,,,,,,,,,,,,,,
450.   ,Surfacing works on cotton street-East Legon (CH 0+000-0+150),Ayawaso West,Messrs Hawai Agency Limited,Metro Roads Department,-,-,"42,434.00",Road Fund,Completed,,,,,,,,,,,,,,,,
451.   ,Construction of Concrete Speed hup on saxel street & Kerbs at Tesano,Tesano,Messrs Cobarma Construction works,Metro Roads Department,"Monday, November 14, 2005",4 Months,"46,117.76",Road Fund,Completed,,,,,,,,,,,,,,,,
452.   ,Surfacing works Great Garden street- Ablekuma north (CH 0+160-0+320),Ablekuma north,Messrs Hawai Agency Ltd,Metro Roads Department,"Thursday, April 14, 2016",4 Months,"49,959.00",Road Fund,Completed,,,,,,,,,,,,,,,,
453.   ,Surfacing works Great Garden street- Ablekuma north (CH 0+000-0+160),Ablekuma north,Messrs Mustek Engineering Company Ltd.,Metro Roads Department,"Wednesday, October 13, 2021",6 Months,"49,990.50",Road Fund,Completed,,,,,,,,,,,,,,,,
454.   ,Gravelling works along 4th street- Ablekuma north (CH 0+450-0+900),Ablekuma North,Messrs Logistics support services/Unsecurities asset management,Metro Roads Department,"Wednesday, October 13, 2021",6 Months,"49,037.00",Road Fund,Completed,,,,,,,,,,,,,,,,
455.   ,Gravelling of IPS Extension road link 4 and 5 Mempeasem (CH 500),Ayawaso     west,Messrs Zaprozhe company Ltd,Metro Roads Department,"Friday, November 13, 2026",5 Months,"49,127.60",Road Fund,Completed,,,,,,,,,,,,,,,,
456.   ,Gravelling works along 1st Manu Avenue-west legon (CH 0+000-0+400)Ayawaso West Wuogon,West Legon,Messrs Mbanba Construction,Metro Roads Department,"Monday, April 14, 2014",4 Months,"49,724.04",Road Fund,Completed,,,,,,,,,,,,,,,,
457.   ,Gravelling works along Mampong Okai Street (CH 0+000-0+350) Ablekuma South,205 Agege,Messrs Cobarma Construction Ltd,Metro Roads Department,"Friday, February 14, 2020",3 Months,"49,081.40",Road Fund,Completed,,,,,,,,,,,,,,,,
458.   ,Construction of concrete sped hump on Sunflower carrot street & Linly avenue,East Legon,Messrs Continental Longro Limited,Metro Roads Department,"Thursday, April 14, 2016",4 Months,"48,625.44",Road Fund,Completed,,,,,,,,,,,,,,,,
459.   ,Construction of concrete sped hump at Abossey Okai roads,Abossey Okai area and Old Winneba,Messrs Dantoz Ent.,Metro Roads Department,"Monday, February 14, 2028",4 Months,"49,168.08",Road Fund,Completed,,,,,,,,,,,,,,,,
460.   ,Gravelling works on Ontinshie road (CH 0+000-0+300) Ayawaso West Wuogon,Ayawaso West,Messrs Henkoq Ventures,Metro Roads Department,-,-,"49,715.00",Road Fund,Completed,,,,,,,,,,,,,,,,
461.   ,"Routine Maintenance along Abossey Okai Road, 800M 0.9M X 0.7M, 800M X 0.6M X 0.6M (RHS) for the Month of October, 2014",Abossey Okai,Messrs Henkoq Ventures,Metro Roads Department,-,-,"6,817.00",Road Fund,Completed,,,,,,,,,,,,,,,,
462.   ,Surfacing works on Papao road-west legon (CH 0+000-0+200),West Legon,Messrs Henkoq Ventures,Metro Roads Department,-,-,"49,503.80",Road Fund,Completed,,,,,,,,,,,,,,,,
463.   ,Surfacing works on Papao road-west legon (CH 0+200-0+400),West Legon,Messrs Zaprozhe company Ltd,Metro Roads Department,-,-,"49,503.80",Road Fund,Completed,,,,,,,,,,,,,,,,
464.   ,Gravelling works on Papao road-west legon (0.5KM),West Legon,Messrs Zaprozhe company Ltd,Metro Roads Department,"Sunday, April 14, 2024",5 Months,"49,920.00",Road Fund,Completed,,,,,,,,,,,,,,,,
465.   ,Gravelling works along Manu Lane-West Legon (CH 0+000-0+350) Ayawaso West Wuogon,West Legon,Messrs Zaprozhe company Ltd,Metro Roads Department,"Sunday, April 14, 2024",5 Months,"48,735.90",Road Fund,Completed,,,,,,,,,,,,,,,,
466.   ,Gravelling works along 1st Manu Avenue-west legon (CH 0+400-0+540) and 2nd Baiden Street (0.26Km) Ayawaso West Wuogon,West Legon,Messrs Kumfaman Co. Ltd/Syndicated Capital Finance,Metro Roads Department,"Sunday, April 14, 2024",4 Months,"49,724.40",Road Fund,Completed,,,,,,,,,,,,,,,,
467.   ,Gravelling works along Manu Lane-west legon (CH 0+000 -0+350) Ayawaso West Wuogon,West legon,Messrs Reggio Company Ltd,Metro Roads Department,"Thursday, October 14, 2021",5 Months,"48,735.90",Road Fund,Completed,,,,,,,,,,,,,,,,
468.   ,Surfacing works on Papao road-west legon (CH 0+400-0+500),West Legon,Messrs Reggio Company Ltd,Metro Roads Department,"Thursday, October 14, 2021",5 Months,"28,739.40",Road Fund,Completed,,,,,,,,,,,,,,,,
469.   ,Surfacing works along Bonsu Road-Accra Newtown (CH 0+300-0+430),Accra Newtown,Messrs Reggio Company Ltd,Metro Roads Department,"Thursday, October 14, 2021",5 Months,"39,389.80",Road Fund,Completed,,,,,,,,,,,,,,,,
470.   ,Surfacing works along Elephant walk link (CH 0+150-0+250),Accra Newtown,Messrs Reggio Company Ltd,Metro Roads Department,"Thursday, October 14, 2021",5 Months,"41,432.60",Road Fund,Completed,,,,,,,,,,,,,,,,
471.   ,Surfacing works along Elephant walk Avenue (CH 0+110-0+220),Accra Newtown,Messrs Reggio Company Ltd,Metro Roads Department,"Thursday, October 14, 2021",5 Months,"37,522.70",Road Fund,Completed,,,,,,,,,,,,,,,,
472.   ,Surfacing works along Akpakpa Road (CH 0+120-0+240),Accra Newtown,Messrs Reggio Company Ltd,Metro Roads Department,"Thursday, October 14, 2021",5 Months,"43,011.80",Road Fund,Completed,,,,,,,,,,,,,,,,
473.   ,Surfacing works along Suhum Link (CH 0+000-0+180),Accra Newtown,Messrs Reggio Company Ltd,Metro Roads Department,"Thursday, October 14, 2021",5 Months,"49,423.70",Road Fund,Completed,,,,,,,,,,,,,,,,
474.   ,Surfacing works along Adomi street (CH 0+000-0+140),Accra Newtown,Messrs Reggio Company Ltd,Metro Roads Department,"Thursday, October 14, 2021",5 Months,"44,147.50",Road Fund,Completed,,,,,,,,,,,,,,,,
475.   ,Surfacing works along Market street (CH 0+000-0+165),Accra Newtown,Messrs Reggio Company Ltd,Metro Roads Department,"Thursday, October 14, 2021",10 Months,"49,133.10",Road Fund,Completed,,,,,,,,,,,,,,,,
476.   ,Surfacing works along Adomi street (CH 0+140-0+280),Accra Newtown,Messrs Reggio Company Ltd,Metro Roads Department,"Thursday, October 14, 2021",10 Months,"44,147.50",Road Fund,Completed,,,,,,,,,,,,,,,,
477.   ,Surfacing works along Elephant Walk Avenue (CH 0+000-0+125),Accra Newtown,Messrs Reggio Company Ltd,Metro Roads Department,"Thursday, October 14, 2021",10 Months,"41,432.60",Road Fund,Completed,,,,,,,,,,,,,,,,
478.   ,Surfacing works along Suhum Link (CH 0+000-0+120),Accra Newtown,Messrs Reggio Company Ltd,Metro Roads Department,"Thursday, October 14, 2021",5 Months,"34,257.20",Road Fund,Completed,,,,,,,,,,,,,,,,
479.   ,Surfacing works along Elephant walk Avenue (CH 0+000-0+110),Accra Newtown,Messrs Reggio Company Ltd,Metro Roads Department,"Thursday, October 14, 2021",5 Months,"37,522.70",Road Fund,Completed,,,,,,,,,,,,,,,,
480.   ,Surfacing works along Akpakpa Road (CH 0+000-0+120),Accra Newtown,Messrs Reggio Company Ltd,Metro Roads Department,"Thursday, October 14, 2021",5 Months,"43,011.80",Road Fund,Completed,,,,,,,,,,,,,,,,
481.   ,Surfacing works along Abele Road (CH 0+180-0+360),Accra Newtown,Messrs Reggio Company Ltd,Metro Roads Department,"Thursday, October 14, 2021",5 Months,"49,312.90",Road Fund,Completed,,,,,,,,,,,,,,,,
482.   ,Surfacing works along Bonsu Road (CH 0+000-0+150),Accra Newtown,Messrs Reggio Company Ltd,Metro Roads Department,"Thursday, October 14, 2021",5 Months,"45,049.30",Road Fund,Completed,,,,,,,,,,,,,,,,
483.   ,Surfacing works along Abele Road (CH 0+000-0+180),Accra Newtown,Messrs Reggio Company Ltd,Metro Roads Department,"Thursday, October 14, 2021",10 Months,"49,312.90",Road Fund,Completed,,,,,,,,,,,,,,,,
484.   ,Surfacing works along Bonsu Road (CH 0+150-0+300),Accra Newtown,Messrs Kuumfaman Co. Ltd/Syndicated Capital Finance,Metro Roads Department,"Thursday, October 14, 2021",10 Months,"45,049.30",Road Fund,Completed,,,,,,,,,,,,,,,,
485.   ,Surfacing works along Senya Breku Road (CH 0+170-0+340),Accra Newtown,Messrs Kuumfaman Co. Ltd/Syndicated Capital Finance,Metro Roads Department,"Monday, November 14, 2005",4 Months,"49,118.40",Road Fund,Completed,,,,,,,,,,,,,,,,
486.   ,Surfacing works along Senya Breku Road (CH 0+340-0+470),Accra Newtown,Messrs Kuumfaman Co. Ltd/Syndicated Capital Finance,Metro Roads Department,"Monday, November 14, 2005",4 Months,"38,714.00",Road Fund,Completed,,,,,,,,,,,,,,,,
487.   ,Surfacing works along Senya Breku Road (CH 0+000-0+170),Accra Newtown,Messrs Salleydeen Co. Ltd,Metro Roads Department,"Monday, November 14, 2005",4 Months,"49,118.40",Road Fund,Completed,,,,,,,,,,,,,,,,
488.   ,Surfacing works along Concam Street (CH 0+105-0+210),Accra Newtown,Messrs Salleydeen Co. Ltd,Metro Roads Department,"Friday, February 14, 2020",6 Months,"31,823.80",Road Fund,Completed,,,,,,,,,,,,,,,,
489.   ,Surfacing works along Concam Street (CH 0+000-0+105),Accra Newtown,Messrs Navacon Co. Ltd,Metro Roads Department,"Thursday, October 14, 2021",5 Months,"31,823.80",Road Fund,Completed,,,,,,,,,,,,,,,,
490.   ,Gravelling of 10th Adote Obour Street-Ablekuma central (CH 0+295-0+462),Zamlamla Line,Messrs Navacon Co. Ltd,Metro Roads Department,"Friday, October 14, 2016",9 Months,"37,667.86",Road Fund,Completed,,,,,,,,,,,,,,,,
491.   ,Gravelling of 12th Adote Obour Street-Ablekuma central (CH 0+210-0+410),Zamlamla Line,Messrs Rozzare. Ltd,Metro Roads Department,"Sunday, September 14, 1930",8 Months,"49,777.10",Road Fund,Completed,,,,,,,,,,,,,,,,
492.   ,Gravelling of Reverend Danso Street (CH 0+250-0+450) Ayawaso West Wuogon,East Legon,Messrs Rozzare. Ltd,Metro Roads Department,"Friday, November 14, 2003",10 Months,"48,413.10",Road Fund,Completed,,,,,,,,,,,,,,,,
493.   ,Gravelling of Reverend Danso Street (CH 0+000-0+250) Ayawaso West Wuogon,East Legon,Messrs Rozzare. Ltd,Metro Roads Department,"Wednesday, October 14, 1931",3 Months,"49,967.05",Road Fund,Completed,,,,,,,,,,,,,,,,
494.   ,Gravelling works on Ontinshie Rd (CH 0+000-0+300) Ayawaso West Wuogon,East Legon,Messrs Rozzare. Ltd,Metro Roads Department,"Friday, November 14, 2003",10 Months,"49,715.00",Road Fund,Completed,,,,,,,,,,,,,,,,
495.   ,Gravelling works on Road 69  Ayawaso West Wuogon (0.32km),East Legon,Messrs Rozzare. Ltd,Metro Roads Department,"Wednesday, October 14, 1931",3 Months,"49,541.50",Road Fund,Completed,,,,,,,,,,,,,,,,
496.   ,Resealing of selected roads in Accra,Metro wide,Messrs Core Const. Ltd,Metro Roads Department,"Wednesday, November 11, 2015","Monday, October 11, 2021","1,525,865.50",GOG,Completed,,,,,,,,,,,,,,,,
497.   ,Rehabilitation of Abossey Okai Road PH I,Ablekuma Central,Messrs Rajga Ltd,Metro Roads Department,"Tuesday, November 10, 2015","Monday, October 11, 2021","1,820,562.25",GOG,Completed,,,,,,,,,,,,,,,,
498.   ,Rehabilitation of Abossey Okai Road PH II,Ablekuma Central,Messrs Sallydeen Co. Ltd,Metro Roads Department,"Tuesday, December 11, 2029","Wednesday, June 13, 2001","3,037,588.04",GOG,Completed,,,,,,,,,,,,,,,,
499.   ,Rehabilitation of Boundary Road Motorway slip road and Gulf House to North Dzorwulu,Ayawaso West,Messrs G.S International Developer GH Ltd,Metro Roads Department,"Thursday, December 10, 1931","Sunday, March 11, 2001","38,795.111.85",GOG,Completed,,,,,,,,,,,,,,,,
500.   ,Rehabilitation of Otublohum Road and Links,,Messrs Gwakunda Eng,Metro Roads Department,"Tuesday, February 12, 2013","Friday, July 13, 2001","3,728,611.96",GOG,Completed,,,,,,,,,,,,,,,,
501.   ,Rehabilitation of Achimota by pass road to West Legon,Okaikoi North,Maripoma Ent. Ltd,Metro Roads Department,"Monday, November 12, 2012","Sunday, January 13, 2008","6,961,243.94",GOG,Completed,,,,,,,,,,,,,,,,
502.   ,Partial reconstruction of selected roads at Ayawaso Central – 4.5km,Ayawaso Central,Messrs Cisco Co. Ltd,Metro Roads Department,"Monday, November 12, 2012","Monday, December 13, 2004","2,205,336.55",GOG,Completed,,,,,,,,,,,,,,,,
503.   ,Rehabilitation of Odorna Garage Area and Tudu Roads Accra – 2.00km,Ashiedu Keteke,Messrs Megazillion Ltd,Metro Roads Department,"Monday, November 12, 2012","Monday, December 13, 2010","3,566,694.29",GOG,Completed,,,,,,,,,,,,,,,,
504.   ,Construction of Walkway along Dansoman Highway RHS,Ablekuma South,Messrs Seer Ltd,Metro Roads Department,"Monday, November 12, 2012","Friday, June 13, 2003","1,329,552.47",GOG,Completed,,,,,,,,,,,,,,,,
505.   ,Asphalt overlay on Dansoman High Street and access in Accra,Ablekuma South,Messrs Oswal Investment Ltd,Metro Roads Department,"Friday, August 13, 2021","Sunday, September 14, 2003","5,263,184.92",GOG,Completed,,,,,,,,,,,,,,,,
506.   ,Surfacing works on Tesano Royal Garden Link Road (Chainage 0+000-0+250),Tesano,Messrs Mustek Engineering Limited,Metro Roads Department,"Monday, September 13, 2021","Sunday, September 14, 2003","5,263,184.92",GOG,Completed,,,,,,,,,,,,,,,,
507.   ,Road line marking on Spintex,Spintex,Messrs Josings Ghana Ltd,Metro Roads Department,"Thursday, September 13, 2018","Thursday, December 13, 2018","49,010.85",Road Fund,Completed,,,,,,,,,,,,,,,,
508.   ,Surfacing Works on Tesano Royal Garden Link Road (Chainage 0+250-0+500),Tesano,Messrs Mustek Engineering Ltd,Metro Roads Department,"Saturday, January 13, 2018","Sunday, March 13, 2005","49,400.26",Road Fund,Completed,,,,,,,,,,,,,,,,
509.   ,Gravelling of Works on Tesano Royal Garden Link Road – Okaikoi North,Tesano,Messrs Mustek Engineering Ltd,Metro Roads Department,"Saturday, January 13, 2018","Sunday, March 13, 2005","46,190.35",Road Fund,Completed,,,,,,,,,,,,,,,,
510.   ,Construction of Access Road to new Sewerage Treatment Plant,Ablekuma South,Messrs Perjays Co. Ltd,Metro Roads Department,"Saturday, June 13, 2026","Sunday, September 13, 2020","49,771.55",Road Fund,Completed,,,,,,,,,,,,,,,,
511.   ,Resealing Works on Amusadai Road (0+000-0+460),Adabraka,Messrs Salleydeen Company Limited,Metro Roads Department,"Tuesday, May 13, 2014","Tuesday, August 13, 2013","37,745.30",Road Fund,Completed,,,,,,,,,,,,,,,,
512.   ,Resealing Works on RCC Road (0+000-310),Adabraka,Messrs Salleydeen Company Limited,Metro Roads Department,"Tuesday, May 13, 2014","Tuesday, August 13, 2013","24,590.70",Road Fund,Completed,,,,,,,,,,,,,,,,
513.   ,"Surfacing works on Abuja Street, Otinshie – East Legon",East Legon,Messrs Mustek Engineering Ltd,Metro Roads Department,"Thursday, September 13, 2001","Friday, November 13, 2015","49,844.20",Road Fund,Completed,,,,,,,,,,,,,,,,
514.   ,Surfacing Works on Pear Street-East Legon (Chainage 0+000-180),East Legon,Messrs Mustek Engineering Company Limited,Metro Roads Department,"Monday, August 13, 2001",3  Months,"45,761.20",Road Fund,Completed,,,,,,,,,,,,,,,,
515.   ,Surfacing of Kwei Tsuru Loop(0.25km),North Kaneshie,Messrs Esbang Roads and Housing,Metro Roads Department,"Wednesday, May 13, 2009",3 Months,"44,827.82",Road Fund,Completed,,,,,,,,,,,,,,,,
516.   ,Surfacing of Lomo Adamu Street (chainage 0+150-300),La,Messrs Benfipiah Company Limited,Metro Roads Department,"Friday, March 13, 2026",3 Months,"47,603.19",Road Fund,Completed,,,,,,,,,,,,,,,,
517.   ,Surfacing of Lomo Adamu Street La (ch0+300-0+450),La,Messrs Beneipiah Company Limited,Metro Roads Department,"Friday, March 13, 2026",3 Months,"47,603.19",Road Fund,Completed,,,,,,,,,,,,,,,,
518.   ,Provision and installation of road signs on Gulf House North Dzorwulu Link,Dzorwulu,Messrs Josigns Ghana Ltd.,Metro Roads Department,"Monday, May 13, 2013",3 Months,"42,700.00",Road Fund,Completed,,,,,,,,,,,,,,,,
519.   ,Walkway Repair works at 7th Avenue,Ridge,Messrs Zatomwando Enterprise,Metro Roads Department,"Wednesday, May 13, 2015",3 Months,"4,597.00",Road Fund,Completed,,,,,,,,,,,,,,,,
520.   ,Construction of Access road to New Sewerage Treatment Plant,Ablekuma South,Messrs Perjas Co.LTD,Metro Roads Department,"Saturday, June 13, 2026",3 Months,"49,771.55",Road Fund,Completed,,,,,,,,,,,,,,,,
521.   ,Provision and Installation of Road Signs on Boundary Road East Legon,East Legon,Messrs Josigns Ghana Limited,Metro Roads Department,"Monday, May 13, 2013",3 Months,"49,362.50",Road Fund,Completed,,,,,,,,,,,,,,,,
522.   ,Surfacing Works on Rev Sowa Road – La (Ch. 0+000-0+170),La,Messrs Benfipiah company Ltd.,Metro Roads Department,"Friday, March 13, 2026",3 Months,"47,603.19",Road Fund,Completed,,,,,,,,,,,,,,,,
523.   ,Surfacing Works on Rev Sowa Road – La (Ch. 0+170-0+340),La,Messrs Benfipiah company Ltd.,Metro Roads Department,"Friday, March 13, 2026",3 Months,"47,603.19",Road Fund,Completed,,,,,,,,,,,,,,,,
524.   ,Surfacing Works on Odiko Kofi Road – La (Ch. 0+000-0+150),La,Messrs Benfipiah company Ltd.,Metro Roads Department,"Friday, March 13, 2026",3 Months,"47,603.19",Road Fund,Completed,,,,,,,,,,,,,,,,
525.   ,Surfacing Works on  Sowa Road – La (Ch. 0+340-0+510),La,Messrs Benfipiah company Ltd.,Metro Roads Department,"Friday, March 13, 2026",3 Months,"47,603.19",Road Fund,Completed,,,,,,,,,,,,,,,,
526.   ,Resealing Works on Twum Tawiah Road – Ablekuma North,Odorkor,Messrs Salleydeen Company Ltd,Metro Roads Department,"Tuesday, May 13, 2014",3 Months,"33,221.50",Road Fund,Completed,,,,,,,,,,,,,,,,
527.   ,"Installation of Road Signs, construction of Rumble Strips & Road line Marking at Onyasia Crescent/Roman Ridge intersection Roman Ridge, Faanofa Street & Kokomlemle",Ayawaso West,Messrs Facol Ltd.,Metro Roads Department,"Tuesday, May 13, 2008",3 Months,"48,112.50",Road Fund,Completed,,,,,,,,,,,,,,,,
528.   ,Gravelling Works  on Ablalashie Lane (CH. 0+000-0+205,East Legon,Messrs Phylido Enterprise,Metro Roads Department,"Monday, September 13, 2010",3 Months,"31,897.00",Road Fund,Completed,,,,,,,,,,,,,,,,
